"","modN","N","exclude_miss_mod"
"1","PC_lags",6496,FALSE
"2","PC_lags_weather",6496,FALSE
"3","PC_weather",6496,FALSE
"4","mod10_",6384,TRUE
"5","mod11_",6384,TRUE
"6","mod12_",6496,FALSE
"7","mod13_",1008,TRUE
"8","mod14_",2576,TRUE
"9","mod15_",5600,TRUE
"10","mod16_",336,TRUE
"11","mod17_",448,TRUE
"12","mod18_",336,TRUE
"13","mod1_",6496,FALSE
"14","mod25_",5488,TRUE
"15","mod26_",5712,TRUE
"16","mod27_",5712,TRUE
"17","mod28_",6272,TRUE
"18","mod29_",6048,TRUE
"19","mod2_",6496,FALSE
"20","mod30_",5824,TRUE
"21","mod31_",2576,TRUE
"22","mod32_",4928,TRUE
"23","mod33_",3136,TRUE
"24","mod34_",4928,TRUE
"25","mod35_",4816,TRUE
"26","mod36_",1792,TRUE
"27","mod37_",5712,TRUE
"28","mod38_",6160,TRUE
"29","mod39_",5936,TRUE
"30","mod3_",6496,FALSE
"31","mod40_",6048,TRUE
"32","mod41_",5936,TRUE
"33","mod42_",6160,TRUE
"34","mod43_",6048,TRUE
"35","mod44_",6496,FALSE
"36","mod45_",6384,TRUE
"37","mod46_",6384,TRUE
"38","mod47_",6160,TRUE
"39","mod48_",6496,FALSE
"40","mod49_",6496,FALSE
"41","mod4_",6496,FALSE
"42","mod50_",6496,FALSE
"43","mod51_",6384,TRUE
"44","mod52_",6496,FALSE
"45","mod53_",6496,FALSE
"46","mod54_",6496,FALSE
"47","mod55_",6496,FALSE
"48","mod56_",6496,FALSE
"49","mod57_",6496,FALSE
"50","mod58_",6496,FALSE
"51","mod59_",6496,FALSE
"52","mod5_",6496,FALSE
"53","mod60_",6496,FALSE
"54","mod61_",6496,FALSE
"55","mod6_",6496,FALSE
"56","mod7_",6496,FALSE
"57","mod8_",6496,FALSE
"58","mod9_",6384,TRUE
"59","modhhh4_basic_",6496,FALSE
"60","modhhh4_np_",6496,FALSE
"61","modhhh4_power_",6496,FALSE
"62","modhhh4_power_precip_temp_",6496,FALSE
"63","modhhh4_power_precip_temp_endmc1_",6496,FALSE
"64","modhhh4_power_precip_temp_endmc2_",6496,FALSE
